message_id,action,message_type,reason,confidence,evidence_message_ids
msg_074,notify,transactional_alert,Transaction alert detected.,0.95,none
msg_073,digest,personal_chat,No high-priority indicators found.,0.7,none
msg_054,digest,personal_chat,No high-priority indicators found.,0.7,none
msg_068,digest,personal_chat,No high-priority indicators found.,0.7,none
msg_100,notify,transactional_alert,Transaction alert detected.,0.95,message_0362|message_0228
msg_062,digest,personal_chat,No high-priority indicators found.,0.7,message_0043
msg_096,digest,personal_chat,No high-priority indicators found.,0.7,none
msg_043,digest,personal_chat,No high-priority indicators found.,0.7,none
msg_077,digest,personal_chat,No high-priority indicators found.,0.7,none
msg_081,digest,personal_chat,No high-priority indicators found.,0.7,none
msg_025,digest,personal_chat,No high-priority indicators found.,0.7,message_0239|message_0004
msg_084,digest,personal_chat,No high-priority indicators found.,0.7,none
msg_022,notify,transactional_alert,Transaction alert detected.,0.95,none
